Local time,Date,Open,High,Low,Close,Volume
29.12.2018 01:30:00.000 GMT+0330,29.12.2018,52.995,52.995,52.995,52.995,0
30.12.2018 01:30:00.000 GMT+0330,30.12.2018,52.995,52.995,52.995,52.995,0
31.12.2018 01:30:00.000 GMT+0330,31.12.2018,53.475,54.801,52.635,53.791,3.4344
01.01.2019 01:30:00.000 GMT+0330,01.01.2019,53.791,53.791,53.791,53.791,0
02.01.2019 01:30:00.000 GMT+0330,02.01.2019,54.118,56.531,52.485,54.735,6.1348
03.01.2019 01:30:00.000 GMT+0330,03.01.2019,54.271,56.276,53.915,55.565,5.7491
04.01.2019 01:30:00.000 GMT+0330,04.01.2019,55.616,58.281,55.335,57.388,6.1971
05.01.2019 01:30:00.000 GMT+0330,05.01.2019,57.388,57.388,57.388,57.388,0
06.01.2019 01:30:00.000 GMT+0330,06.01.2019,57.388,57.388,57.388,57.388,0
07.01.2019 01:30:00.000 GMT+0330,07.01.2019,57.761,58.906,57.255,57.585,5.2346
08.01.2019 01:30:00.000 GMT+0330,08.01.2019,57.746,58.821,57.115,58.615,3.7976
09.01.2019 01:30:00.000 GMT+0330,09.01.2019,59.151,61.655,59.025,61.255,5.288
10.01.2019 01:30:00.000 GMT+0330,10.01.2019,61.036,61.891,60.41,61.195,6.4231
11.01.2019 01:30:00.000 GMT+0330,11.01.2019,61.156,62.461,60.066,60.495,4.6161
12.01.2019 01:30:00.000 GMT+0330,12.01.2019,60.495,60.495,60.495,60.495,0
13.01.2019 01:30:00.000 GMT+0330,13.01.2019,60.495,60.495,60.495,60.495,0
14.01.2019 01:30:00.000 GMT+0330,14.01.2019,60.751,60.751,58.891,59.225,6.4666
15.01.2019 01:30:00.000 GMT+0330,15.01.2019,59.386,60.831,59.095,60.513,6.2152
16.01.2019 01:30:00.000 GMT+0330,16.01.2019,60.395,61.416,60.025,61.285,6.3119
17.01.2019 01:30:00.000 GMT+0330,17.01.2019,61.006,61.516,60.016,61.145,5.1873
18.01.2019 01:30:00.000 GMT+0330,18.01.2019,61.391,62.986,61.386,62.565,5.0513
19.01.2019 01:30:00.000 GMT+0330,19.01.2019,62.565,62.565,62.565,62.565,0
