date,Close gas
6/9/2017,3.001
7/9/2017,2.9701
8/9/2017,2.893
9/9/2017,2.893
10/9/2017,2.893
11/9/2017,2.945
12/9/2017,2.9961
13/09/2017,3.0541
14/09/2017,3.0601
15/09/2017,3.0235
16/09/2017,3.0235
17/09/2017,3.0235
18/09/2017,3.1471
19/09/2017,3.113
20/09/2017,3.076
21/09/2017,2.95
22/09/2017,2.944
23/09/2017,2.944
24/09/2017,2.944
25/09/2017,2.9155
26/09/2017,2.9121
27/09/2017,3.054
28/09/2017,3.014
29/09/2017,3.011
30/09/2017,3.011
1/10/2017,3.011
2/10/2017,2.9185
3/10/2017,2.896
4/10/2017,2.9306
5/10/2017,2.8911
6/10/2017,2.8585
7/10/2017,2.8585
8/10/2017,2.8585
9/10/2017,2.829
10/10/2017,2.8766
11/10/2017,2.9006
12/10/2017,2.9821
13/10/2017,2.9945
14/10/2017,2.9945
15/10/2017,2.9945
16/10/2017,2.9491
17/10/2017,2.917
18/10/2017,2.858
19/10/2017,2.8816
20/10/2017,2.9
21/10/2017,2.9
22/10/2017,2.9
23/10/2017,2.9616
24/10/2017,2.9831
25/10/2017,2.923
26/10/2017,2.886
27/10/2017,2.956
28/10/2017,2.956
29/10/2017,2.956
30/10/2017,2.983
31/10/2017,2.8991
1/11/2017,2.891
2/11/2017,2.929
3/11/2017,2.9891
4/11/2017,2.9891
5/11/2017,2.9891
6/11/2017,3.1116
7/11/2017,3.1475
8/11/2017,3.1491
9/11/2017,3.2051
10/11/2017,3.214
11/11/2017,3.214
12/11/2017,3.214
13/11/2017,3.1361
14/11/2017,3.076
15/11/2017,3.0821
16/11/2017,3.0656
17/11/2017,3.125
18/11/2017,3.125
19/11/2017,3.125
20/11/2017,3.0256
21/11/2017,3.0091
22/11/2017,2.953
23/11/2017,2.8935
24/11/2017,2.8115
25/11/2017,2.8115
26/11/2017,2.8115
27/11/2017,2.9211
28/11/2017,3.1276
29/11/2017,3.1706
30/11/2017,3.018
1/12/2017,3.052
2/12/2017,3.052
3/12/2017,3.052
4/12/2017,2.9671
5/12/2017,2.904
6/12/2017,2.9055
7/12/2017,2.764
8/12/2017,2.776
9/12/2017,2.776
10/12/2017,2.776
11/12/2017,2.7965
12/12/2017,2.684
13/12/2017,2.691
14/12/2017,2.68
15/12/2017,2.618
16/12/2017,2.618
17/12/2017,2.618
18/12/2017,2.7296
19/12/2017,2.7115
20/12/2017,2.645
21/12/2017,2.6125
22/12/2017,2.6701
23/12/2017,2.6701
24/12/2017,2.6701
25/12/2017,2.6701
26/12/2017,2.6296
27/12/2017,2.7361
28/12/2017,2.9221
29/12/2017,2.947
30/12/2017,2.947
31/12/2017,2.947
1/1/2018,2.947
2/1/2018,3.032
3/1/2018,3.005
4/1/2018,2.8676
5/1/2018,2.7867
6/1/2018,2.7867
7/1/2018,2.7867
8/1/2018,2.832
9/1/2018,2.9535
10/1/2018,2.902
11/1/2018,3.1311
12/1/2018,3.1936
13/01/2018,3.1936
14/01/2018,3.1936
15/01/2018,3.1266
16/01/2018,3.1196
17/01/2018,3.2416
18/01/2018,3.1931
19/01/2018,3.18
20/01/2018,3.18
21/01/2018,3.18
22/01/2018,3.2416
23/01/2018,3.5295
24/01/2018,3.4285
25/01/2018,3.4331
26/01/2018,3.5001
27/01/2018,3.5001
28/01/2018,3.5001
29/01/2018,3.1725
30/01/2018,3.1535
31/01/2018,2.95
1/2/2018,2.8785
2/2/2018,2.8575
3/2/2018,2.8575
4/2/2018,2.8575
5/2/2018,2.7531
6/2/2018,2.758
7/2/2018,2.695
8/2/2018,2.6866
9/2/2018,2.5995
10/2/2018,2.5995
11/2/2018,2.5995
12/2/2018,2.56
13/02/2018,2.6016
14/02/2018,2.6035
15/02/2018,2.575
16/02/2018,2.56
17/02/2018,2.56
18/02/2018,2.56
19/02/2018,2.559
20/02/2018,2.6331
21/02/2018,2.6455
22/02/2018,2.6131
23/02/2018,2.6211
24/02/2018,2.6211
25/02/2018,2.6211
26/02/2018,2.682
27/02/2018,2.6871
28/02/2018,2.6641
1/3/2018,2.6906
2/3/2018,2.7061
3/3/2018,2.7061
4/3/2018,2.7061
5/3/2018,2.699
6/3/2018,2.747
7/3/2018,2.779
8/3/2018,2.74
9/3/2018,2.711
10/3/2018,2.711
11/3/2018,2.711
12/3/2018,2.783
13/03/2018,2.7825
14/03/2018,2.733
15/03/2018,2.679
16/03/2018,2.6885
